,CellType,x_global,y_global
embryo1_Pos0_cell290_z2,Lateral plate mesoderm,1637.13940429688,1336.99440364943
embryo1_Pos0_cell291_z2,Gut tube,1637.04457517302,1358.5413110463
embryo1_Pos0_cell292_z2,Gut tube,1637.44099319046,1349.43641126478
embryo1_Pos0_cell293_z2,Gut tube,1637.52306189904,1354.73999023438
embryo1_Pos0_cell294_z2,Lateral plate mesoderm,1637.44953747534,1332.61417676378
embryo1_Pos0_cell295_z2,Blood progenitors,1637.48450567579,1345.1719240831
embryo1_Pos0_cell296_z2,Lateral plate mesoderm,1637.85059149587,1340.68595776666
embryo1_Pos0_cell297_z2,Gut tube,1637.41057395031,1353.94843310315
embryo1_Pos0_cell298_z2,Lateral plate mesoderm,1638.51313670582,1331.43261104356
embryo1_Pos0_cell299_z2,Gut tube,1637.6063617027,1350.70760982984
embryo1_Pos0_cell30_z2,Lateral plate mesoderm,1618.92655003324,1359.57423952793
embryo1_Pos0_cell300_z2,Gut tube,1637.84990334024,1351.92120663835
embryo1_Pos0_cell301_z2,Gut tube,1638.17190271736,1359.30468787969
embryo1_Pos0_cell302_z2,Lateral plate mesoderm,1638.23222952178,1338.29371596828
embryo1_Pos0_cell303_z2,Lateral plate mesoderm,1638.27518828277,1335.56865861351
embryo1_Pos0_cell304_z2,Mixed mesenchymal mesoderm,1638.30282399624,1342.73701934171
embryo1_Pos0_cell305_z2,Gut tube,1638.11846827558,1358.13128373299
embryo1_Pos0_cell306_z2,Lateral plate mesoderm,1638.55323397403,1348.57583719216
embryo1_Pos0_cell307_z2,Gut tube,1638.11831601016,1357.33016861069
embryo1_Pos0_cell308_z2,Lateral plate mesoderm,1638.46886771066,1336.77986798968
embryo1_Pos0_cell309_z2,Gut tube,1638.62086773115,1355.37535790512
embryo1_Pos0_cell31_z2,Erythroid,1619.18590608828,1336.53350635699
embryo1_Pos0_cell310_z2,Gut tube,1638.35078863728,1353.90719142787
embryo1_Pos0_cell311_z2,Lateral plate mesoderm,1639.2761599447,1333.88692968258
embryo1_Pos0_cell312_z2,Haematoendothelial progenitors,1638.32821890024,1345.31260892428
embryo1_Pos0_cell313_z2,Gut tube,1638.4337421492,1349.90484738817
embryo1_Pos0_cell314_z2,Gut tube,1638.53234497801,1352.859411548
embryo1_Pos0_cell315_z2,Haematoendothelial progenitors,1638.8236453683,1344.58051292783
embryo1_Pos0_cell316_z2,Gut tube,1638.77070247969,1350.7509647319
embryo1_Pos0_cell317_z2,Gut tube,1639.07314856967,1356.38101540472
embryo1_Pos0_cell318_z2,Lateral plate mesoderm,1638.53306147509,1332.9627180345
embryo1_Pos0_cell320_z2,Lateral plate mesoderm,1638.81683981008,1340.49816473599
embryo1_Pos0_cell321_z2,Mixed mesenchymal mesoderm,1639.12992462664,1347.63693861145
embryo1_Pos0_cell322_z2,Gut tube,1638.82267082174,1357.26663351808
embryo1_Pos0_cell323_z2,Lateral plate mesoderm,1639.63743661804,1338.89218407985
embryo1_Pos0_cell324_z2,Mixed mesenchymal mesoderm,1639.56030273438,1342.27621182528
